sample_id,feature,feature_scope,channel_id,early_response,official_top10,response_rank
train_000027,line_length,channel_local,POL R1,2.7001514434814453,False,34
train_000027,line_length,channel_local,POL R2,3.1982157230377197,False,26
train_000027,line_length,channel_local,POL R3,2.6643764972686768,False,35
train_000027,line_length,channel_local,POL R4,3.7603180408477783,False,17
train_000027,line_length,channel_local,POL R5,2.824246406555176,False,31
train_000027,line_length,channel_local,POL R6,3.031282901763916,False,29
train_000027,line_length,channel_local,POL R7,2.2230520248413086,False,43
train_000027,line_length,channel_local,POL R8,1.6757153272628784,False,76
train_000027,line_length,channel_local,POL R9,1.9448734521865845,False,62
train_000027,line_length,channel_local,POL R10,2.1553804874420166,False,48
train_000027,line_length,channel_local,POL R13,1.4236199855804443,False,79
train_000027,line_length,channel_local,POL R14,1.9099737405776978,False,63
train_000027,line_length,channel_local,POL R15,2.7890422344207764,False,32
train_000027,line_length,channel_local,POL R16,2.4021201133728027,False,40
train_000027,line_length,channel_local,POL PC1,3.6138391494750977,False,22
train_000027,line_length,channel_local,POL PC2,1.5584088563919067,False,78
train_000027,line_length,channel_local,POL PC3,0.8671427965164185,False,85
train_000027,line_length,channel_local,POL PC4,0.6950077414512634,False,87
train_000027,line_length,channel_local,POL PC5,0.5844417214393616,False,89
train_000027,line_length,channel_local,POL PC6,0.5900192260742188,False,88
train_000027,line_length,channel_local,POL PC7,0.8869757652282715,False,84
train_000027,line_length,channel_local,POL R11,2.05684494972229,False,54
train_000027,line_length,channel_local,POL R12,1.5752614736557007,False,77
train_000027,line_length,channel_local,POL PC8,0.8201748132705688,False,86
train_000027,line_length,channel_local,POL PC9,3.1305012702941895,False,27
train_000027,line_length,channel_local,EEG F1-Ref,2.5070674419403076,False,37
train_000027,line_length,channel_local,EEG F2-Ref,1.9943766593933105,False,57
train_000027,line_length,channel_local,EEG F3-Ref,2.002009630203247,False,55
train_000027,line_length,channel_local,EEG F4-Ref,1.9881188869476318,False,58
train_000027,line_length,channel_local,EEG F5-Ref,1.8073934316635132,False,71
train_000027,line_length,channel_local,EEG F6-Ref,1.2662895917892456,False,81
train_000027,line_length,channel_local,EEG F7-Ref,5.253224849700928,False,5
train_000027,line_length,channel_local,POL G1,1.1306135654449463,False,82
train_000027,line_length,channel_local,POL G2,0.9182427525520325,False,83
train_000027,line_length,channel_local,POL G3,-0.039300523698329926,False,92
train_000027,line_length,channel_local,POL G4,0.29421576857566833,False,90
train_000027,line_length,channel_local,POL G5,0.24886882305145264,False,91
train_000027,line_length,channel_local,POL G6,1.9699299335479736,False,60
train_000027,line_length,channel_local,POL G7,3.648535966873169,False,20
train_000027,line_length,channel_local,POL H1,4.968415260314941,False,7
train_000027,line_length,channel_local,POL H2,3.939518690109253,False,13
train_000027,line_length,channel_local,POL H3,3.7888975143432617,False,16
train_000027,line_length,channel_local,POL H4,3.9509997367858887,False,12
train_000027,line_length,channel_local,POL H5,4.224264144897461,False,9
train_000027,line_length,channel_local,POL H6,5.162952423095703,False,6
train_000027,line_length,channel_local,POL H7,5.302877426147461,False,4
train_000027,line_length,channel_local,POL H8,6.327597141265869,False,1
train_000027,line_length,channel_local,POL H9,5.7702836990356445,False,2
train_000027,line_length,channel_local,POL I1,3.796445846557617,False,15
train_000027,line_length,channel_local,POL I2,3.6703567504882812,False,19
train_000027,line_length,channel_local,POL I3,3.041325330734253,True,28
train_000027,line_length,channel_local,POL I4,2.2714545726776123,True,42
train_000027,line_length,channel_local,POL I5,1.950818657875061,False,61
train_000027,line_length,channel_local,POL I6,1.8660888671875,False,67
train_000027,line_length,channel_local,POL T1,3.428661346435547,False,25
train_000027,line_length,channel_local,POL T2,3.9320945739746094,False,14
train_000027,line_length,channel_local,EEG T3-Ref,4.102482318878174,False,10
train_000027,line_length,channel_local,EEG T4-Ref,3.4599146842956543,False,24
train_000027,line_length,channel_local,EEG T5-Ref,4.434038162231445,False,8
train_000027,line_length,channel_local,EEG T6-Ref,4.095123767852783,False,11
train_000027,line_length,channel_local,EEG T7-Ref,3.6297173500061035,False,21
train_000027,line_length,channel_local,EEG T8-Ref,2.44749116897583,False,39
train_000027,line_length,channel_local,EEG T9-Ref,3.6935830116271973,False,18
train_000027,line_length,channel_local,EEG T10-Ref,1.8770214319229126,False,66
train_000027,line_length,channel_local,POL B1,3.607512950897217,True,23
train_000027,line_length,channel_local,POL B2,5.754065990447998,True,3
train_000027,line_length,channel_local,POL B3,2.7374143600463867,True,33
train_000027,line_length,channel_local,POL B4,2.3449127674102783,True,41
train_000027,line_length,channel_local,POL B5,2.1439919471740723,False,49
train_000027,line_length,channel_local,POL B6,2.215238571166992,False,44
train_000027,line_length,channel_local,POL B7,2.157562494277954,False,47
train_000027,line_length,channel_local,POL B8,2.1754300594329834,False,46
train_000027,line_length,channel_local,POL B9,2.137744665145874,False,51
train_000027,line_length,channel_local,POL B10,2.057504177093506,False,53
train_000027,line_length,channel_local,POL B11,2.479982852935791,False,38
train_000027,line_length,channel_local,POL B12,2.5097641944885254,False,36
train_000027,line_length,channel_local,POL B13,2.8575146198272705,False,30
train_000027,line_length,channel_local,EEG M1-Ref,1.9829493761062622,True,59
train_000027,line_length,channel_local,EEG M2-Ref,1.8237810134887695,True,69
train_000027,line_length,channel_local,POL M3,1.9993520975112915,True,56
train_000027,line_length,channel_local,POL M4,1.8884719610214233,False,65
train_000027,line_length,channel_local,POL M5,1.8200856447219849,False,70
train_000027,line_length,channel_local,POL M6,2.187720775604248,False,45
train_000027,line_length,channel_local,POL N1,1.9071868658065796,True,64
train_000027,line_length,channel_local,POL N2,2.143770456314087,False,50
train_000027,line_length,channel_local,POL N3,1.7310372591018677,False,73
train_000027,line_length,channel_local,POL N4,1.7563717365264893,False,72
train_000027,line_length,channel_local,EEG O1-Ref,1.3737847805023193,False,80
train_000027,line_length,channel_local,EEG O2-Ref,1.6906788349151611,False,75
train_000027,line_length,channel_local,POL O3,2.115079402923584,False,52
train_000027,line_length,channel_local,POL O4,1.8530410528182983,False,68
train_000027,line_length,channel_local,POL O5,1.7296963930130005,False,74
train_000027,rms_change,channel_local,POL R1,3.4835479259490967,False,13
train_000027,rms_change,channel_local,POL R2,1.5010371208190918,False,83
train_000027,rms_change,channel_local,POL R3,1.8865933418273926,False,67
train_000027,rms_change,channel_local,POL R4,1.8629374504089355,False,68
train_000027,rms_change,channel_local,POL R5,2.073321580886841,False,56
train_000027,rms_change,channel_local,POL R6,1.9317978620529175,False,65
train_000027,rms_change,channel_local,POL R7,2.408986806869507,False,43
train_000027,rms_change,channel_local,POL R8,1.9785945415496826,False,63
train_000027,rms_change,channel_local,POL R9,1.738834023475647,False,74
train_000027,rms_change,channel_local,POL R10,2.2089223861694336,False,50
train_000027,rms_change,channel_local,POL R13,2.109788417816162,False,54
train_000027,rms_change,channel_local,POL R14,2.0208253860473633,False,59
train_000027,rms_change,channel_local,POL R15,2.701599597930908,False,31
train_000027,rms_change,channel_local,POL R16,1.695328950881958,False,76
train_000027,rms_change,channel_local,POL PC1,2.5789055824279785,False,35
train_000027,rms_change,channel_local,POL PC2,3.066549062728882,False,19
train_000027,rms_change,channel_local,POL PC3,3.7836806774139404,False,10
train_000027,rms_change,channel_local,POL PC4,3.4271881580352783,False,14
train_000027,rms_change,channel_local,POL PC5,2.5617449283599854,False,37
train_000027,rms_change,channel_local,POL PC6,2.8054957389831543,False,28
train_000027,rms_change,channel_local,POL PC7,2.0178236961364746,False,60
train_000027,rms_change,channel_local,POL R11,1.595580816268921,False,80
train_000027,rms_change,channel_local,POL R12,2.9436917304992676,False,24
train_000027,rms_change,channel_local,POL PC8,2.786109209060669,False,30
train_000027,rms_change,channel_local,POL PC9,1.5322997570037842,False,82
train_000027,rms_change,channel_local,EEG F1-Ref,1.2086782455444336,False,88
train_000027,rms_change,channel_local,EEG F2-Ref,1.4753704071044922,False,84
train_000027,rms_change,channel_local,EEG F3-Ref,1.0829107761383057,False,90
train_000027,rms_change,channel_local,EEG F4-Ref,1.9639438390731812,False,64
train_000027,rms_change,channel_local,EEG F5-Ref,2.2896690368652344,False,46
train_000027,rms_change,channel_local,EEG F6-Ref,3.8918991088867188,False,8
train_000027,rms_change,channel_local,EEG F7-Ref,2.7876527309417725,False,29
train_000027,rms_change,channel_local,POL G1,2.191854953765869,False,52
train_000027,rms_change,channel_local,POL G2,2.2856481075286865,False,47
train_000027,rms_change,channel_local,POL G3,2.567678689956665,False,36
train_000027,rms_change,channel_local,POL G4,1.1270742416381836,False,89
train_000027,rms_change,channel_local,POL G5,1.2165888547897339,False,86
train_000027,rms_change,channel_local,POL G6,2.084423065185547,False,55
train_000027,rms_change,channel_local,POL G7,3.058588981628418,False,20
train_000027,rms_change,channel_local,POL H1,2.904578924179077,False,26
train_000027,rms_change,channel_local,POL H2,3.415104866027832,False,15
train_000027,rms_change,channel_local,POL H3,3.6525490283966064,False,12
train_000027,rms_change,channel_local,POL H4,5.1273369789123535,False,6
train_000027,rms_change,channel_local,POL H5,5.863682270050049,False,5
train_000027,rms_change,channel_local,POL H6,7.051591396331787,False,3
train_000027,rms_change,channel_local,POL H7,6.953590393066406,False,4
train_000027,rms_change,channel_local,POL H8,7.728240966796875,False,2
train_000027,rms_change,channel_local,POL H9,9.150816917419434,False,1
train_000027,rms_change,channel_local,POL I1,4.041287899017334,False,7
train_000027,rms_change,channel_local,POL I2,3.828169345855713,False,9
train_000027,rms_change,channel_local,POL I3,2.1675865650177,True,53
train_000027,rms_change,channel_local,POL I4,2.2616376876831055,True,48
train_000027,rms_change,channel_local,POL I5,1.7193862199783325,False,75
train_000027,rms_change,channel_local,POL I6,1.0188477039337158,False,92
train_000027,rms_change,channel_local,POL T1,2.921520709991455,False,25
train_000027,rms_change,channel_local,POL T2,2.445568799972534,False,41
train_000027,rms_change,channel_local,EEG T3-Ref,1.5994811058044434,False,79
train_000027,rms_change,channel_local,EEG T4-Ref,3.046799898147583,False,21
train_000027,rms_change,channel_local,EEG T5-Ref,3.250145196914673,False,17
train_000027,rms_change,channel_local,EEG T6-Ref,2.327650785446167,False,45
train_000027,rms_change,channel_local,EEG T7-Ref,2.034740924835205,False,57
train_000027,rms_change,channel_local,EEG T8-Ref,1.8533843755722046,False,69
train_000027,rms_change,channel_local,EEG T9-Ref,2.686816930770874,False,32
train_000027,rms_change,channel_local,EEG T10-Ref,2.600663185119629,False,34
train_000027,rms_change,channel_local,POL B1,1.21059250831604,True,87
train_000027,rms_change,channel_local,POL B2,1.776679515838623,True,73
train_000027,rms_change,channel_local,POL B3,3.002927780151367,True,22
